Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8
dennr;dennr;mensch;;male;HH;blog;
mal;mal;mensch;;male;;blog;
js;js;mensch;;male;;blog;
fsc;fsc;keinmensch;church;;NW;blog;isn
sbe;sbe;mensch;;female;NW;socials;
gbe;gbe;mensch;;male;;blog;
obe;obe;mensch;;male;NW;blog;
al;al;mensch;;female;;blog;
ibh;ibh;keinmensch;immos;;HH;website;isn
heger;heger;keinmensch;econ;;BW;website;isn
